vendor,sum_spend,name,X,Y,address
GREAT EASTERN SEAFOOD,214897.33,GREAT EASTERN SEAFOOD Massachusetts,42.3437604,-71.0242402,"88 Black Falcon Ave, Boston, MA 02210, USA"
High Lawn Farms,74584.03,High Lawn Farms Massachusetts,42.3172007,-73.2728708,"535 Summer St, Lee, MA 01238, USA"
Sun Coffee Roasters,43691.73,Sun Coffee Roasters Massachusetts,41.695362,-72.8621063,"45 Northwest Dr, Plainville, CT 06062, USA"
PLAINVILLE FARM,17194.925,PLAINVILLE FARM Massachusetts,42.3754016,-72.5543038,"135 Mt Warner Rd, Hadley, MA 01035, USA"
MISTY KNOLL FARM,13004.07,MISTY KNOLL FARM Massachusetts,42.4072107,-71.3824374,"Massachusetts, USA"
Fatboy Foods,12975.56,Fatboy Foods Massachusetts,42.4072107,-71.3824374,"Massachusetts, USA"
Jekanowski Farm,7534.67,Jekanowski Farm Massachusetts,42.4072107,-71.3824374,"Massachusetts, USA"
Appalachian Naturals,6705.96,Appalachian Naturals Massachusetts,42.4427019,-72.815455,"Ball Rd, Goshen, MA 01032, USA"
Pine Hill Orchards,4502.16,Pine Hill Orchards Massachusetts,42.6507414,-72.6757961,"248 Greenfield Rd, Colrain, MA 01340, USA"
Hager's Farm Market,3630.51,Hager's Farm Market Massachusetts,42.6119894,-72.6692466,"1232 Mohawk Trail, Shelburne Falls, MA 01370, USA"
LITTLE LEAF FARMS,3202.14,LITTLE LEAF FARMS Massachusetts,NA,NA,NA
Twin Oaks,2064.49,Twin Oaks Massachusetts,42.38922114,-72.54678867,
Smiarowski Farm,1782,Smiarowski Farm Massachusetts,42.417245,-72.592389,"487 Main St, Hatfield, MA 01038, USA"
Klein's Kill Fruit Farm,1664.5,Klein's Kill Fruit Farm Massachusetts,42.1584243,-73.8268508,"469 Co Rte 10, Germantown, NY 12526, USA"
Katalyst Kombucha,1408.95,Katalyst Kombucha Massachusetts,42.602929,-72.608343,"324 Wells St, Greenfield, MA 01301, USA"
Hosta Hill,1376.88,Hosta Hill Massachusetts,42.4535148,-73.216359,"15 Commercial St, Pittsfield, MA 01201, USA"
MAPLE LEAF FARMS INC,1205.9,MAPLE LEAF FARMS INC Massachusetts,41.85272398,-72.42040566,
YONDER FRUIT FARMS INC,1030.96,YONDER FRUIT FARMS INC Massachusetts,42.44265694,-73.6867408,
BLUE HARVEST FOODS LLC,864.45,BLUE HARVEST FOODS LLC Massachusetts,NA,NA,NA
Garuka Bars,776.95,Garuka Bars Massachusetts,44.48760647,-73.21978918,
Joe Czajkowski Farm LLC,670.98,Joe Czajkowski Farm LLC Massachusetts,42.4104377,-72.54855,"86 Comins Rd, Hadley, MA 01035, USA"
Queen's Greens,622.41,Queen's Greens Massachusetts,42.4081951,-72.5419551,"62 Russellville Road, Amherst, MA 01002, USA"
Dutton Berry Farm,599.01,Dutton Berry Farm Massachusetts,42.973297,-72.658714,"407 VT-30, Newfane, VT 05345, USA"
Bardwell Farm,501.19,Bardwell Farm Massachusetts,42.3712217,-72.5967762,"49 Main St, Hatfield, MA 01038, USA"
Cream of the Crop Farm,431.46,Cream of the Crop Farm Massachusetts,42.1651976,-72.8529682,"601 Blandford Rd, Russell, MA 01071, USA"
VERMONT SOY,416.22,VERMONT SOY Massachusetts,44.51399391,-72.37636567,
South River Miso Company,342.96,South River Miso Company Massachusetts,42.532023,-72.7005392,"888 Shelburne Falls Rd, Conway, MA 01341, USA"
Mi Tierra Tortillas,313.56,Mi Tierra Tortillas Massachusetts,42.3337798,-72.584187,"113 Bay Rd, Hadley, MA 01035, USA"
Real Pickles,303,Real Pickles Massachusetts,42.6020332,-72.6064493,"311 Wells St, Greenfield, MA 01301, USA"
Mycoterra Farm,247.93,Mycoterra Farm Massachusetts,42.510221,-72.640404,"75 Stillwater Rd, South Deerfield, MA 01373, USA"
Hawthorne Valley Farm,219.28,Hawthorne Valley Farm Massachusetts,42.2708863,-73.5951018,"327 Co Rd 21C, Ghent, NY 12075, USA"
Atlas Farm,200.32,Atlas Farm Massachusetts,42.5013305,-72.6080817,"218 Greenfield Rd, South Deerfield, MA 01373, USA"
Hall Poultry (Esbenshade Farm & Martin's Quality Eggs)PA,172.04,Hall Poultry (Esbenshade Farm & Martin's Quality Eggs)PA Massachusetts,40.14072235,-76.52525379,
Maine Grains,139.4,Maine Grains Massachusetts,44.7672557,-69.7185292,"42 Court St, Skowhegan, ME 04976, USA"
Warm Colors Apiary,136.27,Warm Colors Apiary Massachusetts,42.4934372,-72.6341148,"2 S Mill River Rd, South Deerfield, MA 01373, USA"
Harvest Farm of Whately,126,Harvest Farm of Whately Massachusetts,42.4326861,-72.6012697,"125 Long Plain Rd, South Deerfield, MA 01373, USA"
Old Friends Farm,116.5,Old Friends Farm Massachusetts,42.3732216,-72.5198537,"Amherst, MA 01002, USA"
Nourse Farms,110,Nourse Farms Massachusetts,42.4272704,-72.5905978,"41 River Rd, Whately, MA 01093, USA"
Riverland Farm,104.5,Riverland Farm Massachusetts,42.4456262,-72.5850288,"211 River Rd, Sunderland, MA 01375, USA"
JM GROSS BROKERAGE C,99.1,JM GROSS BROKERAGE C Massachusetts,NA,NA,NA
Warner Farm,99,Warner Farm Massachusetts,42.4617067,-72.5822586,"23 S Main St, Sunderland, MA 01375, USA"
Stepanik Farm,96.75,Stepanik Farm Massachusetts,NA,NA,NA
Berkshire Bark,89.84,Berkshire Bark Massachusetts,42.109013,-73.353073,"18 Elm Ct, Sheffield, MA 01257, USA"
Kitchen Garden Farm,88,Kitchen Garden Farm Massachusetts,42.4461571,-72.5638682,"131 S Silver Ln, Sunderland, MA 01375, USA"
Winter Moon Roots,75.92,Winter Moon Roots Massachusetts,NA,NA,NA
Samara,72.4,Samara Massachusetts,NA,NA,NA
GRAFTON VILLAGE CHEESE,71.68,GRAFTON VILLAGE CHEESE Massachusetts,43.168774,-72.609361,
MAPLEBROOK FARM,66.6,MAPLEBROOK FARM Massachusetts,42.4656437,-71.7704318,"155 Tuttle Rd, Sterling, MA 01564, USA"
Five College Farms,66.5,Five College Farms Massachusetts,42.4009924,-72.566728,"319 River Dr, Hadley, MA 01035, USA"
Fat Apple Farm,66.38,Fat Apple Farm Massachusetts,42.01115193,-73.66517623,
Next Barn Over Farm,58.03,Next Barn Over Farm Massachusetts,42.3290425,-72.5783524,"15 Lawrence Plain Rd, Hadley, MA 01035, USA"
Ioka Valley Farm,56.9,Ioka Valley Farm Massachusetts,42.5568958,-73.3058848,"3475 Hancock Rd, Williamstown, MA 01267, USA"
Packer Label,54.9,Packer Label Massachusetts,NA,NA,NA
Just Hummus,44.62,Just Hummus Massachusetts,42.411227,-71.1072588,"101 Mystic Ave, Medford, MA 02155, USA"
Valley Veggies,40.5,Valley Veggies Massachusetts,NA,NA,NA
MX Morningstar Farm,35,MX Morningstar Farm Massachusetts,42.2085182,-73.7300245,"5956 NY-9H, Hudson, NY 12534, USA"
Szawlowski Potato Farms,32,Szawlowski Potato Farms Massachusetts,42.3792248,-72.596204,"107 Main St, Hatfield, MA 01038, USA"
Markristo Farm,25.5,Markristo Farm Massachusetts,42.1834633,-73.5054035,"2891 NY-23, Hillsdale, NY 12529, USA"